# Solve Time (ms): 2.3018330000000002
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100.0000000000034,6.651311284831631e-13,0.0,-2.427979055391498e-11,0.09999999999878562,0.0,0.9999992866139401,0.9998657237567776,0.0
1,-100.00000000083236,2.9999999999841886,0.0,0.055709957151537065,0.15999194342529272,0.0,0.9999991328993826,0.23350015860430612,0.0
2,-98.32870128638451,7.799758302763019,0.0,0.11537937337383677,0.1703250957695393,0.0,0.9999982499639752,-0.9994526077743893,0.0
3,-94.86732008526467,12.909511175869445,0.0,0.1759127291079504,0.1027429006606649,0.0,0.999996697196205,-0.9994499340473051,0.0
4,-89.58993821211729,15.991798195708997,0.0,0.2323625112146955,0.031165664497054636,0.0,0.9999922074860901,-0.9990662428581272,0.0
5,-82.61906287576193,16.926768130638628,0.0,0.28466263324091134,-0.04411423581429627,0.0,0.9999839128211427,-0.9976146180441322,0.0
6,-74.07918387861277,15.603341056224977,0.0,0.33275291249344663,-0.12275884669066542,0.0,0.999965311098461,-0.10973177694276083,0.0
7,-64.09659650387837,11.920575655516163,0.0,0.37658152414988866,-0.15130444553176314,0.0,0.999935504676913,0.9781974972677749,0.0
8,-52.79915077943954,7.381442289568863,0.0,0.419611441664572,-0.1174669762896379,0.0,0.05723844873421085,0.9758226388479968,0.0
9,-40.210807529547,3.8574330008811373,0.0,0.4095431006335571,-0.08661197310871066,0.0,-0.9998208086417592,0.9579628999268468,0.0
10,-27.92451451056946,1.259073807618245,0.0,0.33945850495081015,-0.05616404375501176,0.0,-0.999853422448981,0.9041118484863316,0.0
11,-17.740759362061464,-0.42584750503560637,0.0,0.272719493087282,-0.024321594172659864,0.0,-0.9998308875679545,0.7222937726669111,0.0
12,-9.559174569448915,-1.1554953302196445,0.0,0.20919244592491812,0.0010165456435543183,0.0,-0.9997591730990772,0.3290866785452767,0.0
13,-3.2834011916992862,-1.124998960916891,0.0,0.14823299344240076,0.006955044925213429,0.0,-0.9995779476502501,0.2037876862401486,0.0
14,1.1635886115804497,-0.9163476131633429,0.0,0.08835978715997944,0.009398928532420605,0.0,-0.9990276018783837,0.10234884211131555,0.0
15,3.8143822263907676,-0.6343797571925962,0.0,0.02916517513115497,0.009708113106538446,0.0,-0.9962557421692744,-0.008793610565274603,0.0
16,4.689337480337069,-0.3431363639975117,0.0,-0.029554047708970462,0.007255594913963066,0.0,-0.887240710166647,-0.10107250314796477,0.0
17,3.802716049077739,-0.12546851657909727,0.0,-0.08179895220282278,0.0031418118738762127,0.0,0.6705781781386521,-0.11671244137770342,0.0
18,1.348747482998489,-0.031214160362956652,0.0,-0.04094278615304905,0.0015377962366018582,0.0,0.5400450339762529,-0.06694582200084528,0.0
19,0.12046389840857011,0.014919726735101821,0.0,-0.008291710961976511,0.00022327080265491204,0.0,0.16602830110491432,-0.01848985175076419,0.0
20,-0.1282874304507927,0.021617850814799982,0.0,0.0016978414958162857,-0.00033886737889875804,0.0,0.004381620455687244,0.0025900690381767456,0.0
21,-0.07735218557657579,0.01145182944787995,0.0,0.0019244029749694166,-0.00029552077533142576,0.0,-0.020080490598524566,0.005222207419337391,0.0
22,-0.019620096327622506,0.002586206187955948,0.0,0.0006916455148764044,-0.00010919892651916322,0.0,-0.01021491070385415,0.0025236227396847255,0.0
23,0.0011292691186428427,-0.0006897616076159056,0.0,6.940711500530154e-05,-3.430166120051843e-06,0.0,-0.0022104689464564455,0.0004558525461445657,0.0
24,0.0032114825688070105,-0.0007926665912193112,0.0,-6.33244353386885e-05,1.9340117058187184e-05,0.0,0.0003432267734997182,-0.00020849661096124106,0.0
25,0.0013117495086527188,-0.00021246307947531102,0.0,-4.110465075104e-05,1.100973313283044e-05,0.0,0.0004966101865847778,-0.00019967356203811831,0.0
26,7.860998612384891e-05,0.00011782891450902674,0.0,-1.0438547647691192e-05,1.7422263600953119e-06,0.0,0.00020333290007220367,-7.387160286880116e-05,0.0
27,-0.0002345464433066911,0.00017009570531179512,0.0,1.8849739238922532e-06,-2.0011256672986437e-06,0.0,3.11921355812294e-05,-4.672581064462361e-06,0.0
28,-0.00017799722559013104,0.00011006193529277578,0.0,3.598885657050635e-06,-2.4058888101550858e-06,0.0,-1.1593471762700306e-05,1.0168787723078326e-05,0.0
29,-7.003065587867229e-05,3.788527098797392e-05,0.0,2.7251047919556337e-06,-2.0332880001428984e-06,0.0,-4.676186049679221e-06,2.619766390671773e-06,0.0
30,1.172248788005895e-05,-2.311336901650807e-05,0.0,2.3027102825971225e-06,-2.055958932998207e-06,0.0,0.0,0.0,0.0
