# Solve Time (ms): 0.83475
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,1.2115428507351508e-18,2.4933779916054245e-20,1.4217489684881113e-06,7.768767531568176e-20,-7.263291858385658e-19,7.15706530197997e-08,-2.9783889197813496e-16,-7.245358137321704e-16,4.6758416381394744e-07,-9.79414933653153e-19,-2.8830655555953706e-19,-3.933321679211565e-07,-0.9915419696527803,1.7314483780621346,-0.9915419696527793,1.7314483780621135
1,-1.5389040358400159e-15,-1.904648975924218e-17,0.08278113971731343,-1.2671383944745682e-17,-7.293452280865432e-19,0.015686052573121795,-3.092082327304843e-14,-7.552535212995936e-16,1.6604802073966034,-5.057761526469223e-16,1.8929708741323103e-17,0.31179573238944425,-0.991573294205489,0.5838057036570585,-0.9915732942054868,0.5838057036571109
2,-8.234660912909667e-16,6.001874894692255e-17,0.2967210357571544,-1.561221292168653e-16,1.2306099407657822e-18,0.03797150581424116,4.429646315255203e-14,1.3238309648095458e-15,2.621146434197156,-2.2715188622016205e-15,2.4427077094821767e-17,0.13516071744389083,-0.4374614343232762,0.019971592165294313,-0.43746143432329526,0.01997159216526548
3,1.4738390534311975e-15,-1.1371594576542635e-15,0.5727417358801992,-3.7312921528758087e-16,-1.1698876746451267e-18,0.04252870031490354,2.4728707842028814e-15,-2.6690027699490067e-14,2.900089178349132,-1.6246010942865461e-15,2.4590631502495454e-16,-0.04285109929006018,0.750116318689397,-0.7732097132670306,0.7501163186894267,-0.7732097132670299
4,1.777527400527844e-15,-1.6402665299617418e-15,0.8164415573230643,-4.580450522921057e-16,1.0308510289774099e-16,0.03778833905924595,2.735349113254368e-15,1.6915258146261168e-14,1.971165043962653,-2.8996989806015094e-17,1.949748541593741e-15,-0.05192284870092898,0.8327709704596504,-0.8216008759910771,0.8327709704596611,-0.8216008759910973
5,5.994373611660763e-16,8.074534177389391e-16,0.9632652061453832,-3.8259110454967576e-16,3.451336855522532e-16,0.032874444254403605,-2.6717869344967912e-14,3.208888023091104e-14,0.9623291565694025,1.3520099920817257e-15,2.4666775520639987e-15,-0.046416242405920585,0.563599650810218,-0.5510324746002364,0.5635996508101881,-0.5510324746002164
6,-6.197093373257553e-16,1.852808356729572e-15,1.0256133520580795,-2.5003212555770544e-16,5.166644452544237e-16,0.028536415885399697,2.5000904176674904e-15,-1.0792301483120437e-14,0.28262653626784234,1.0821027319402459e-15,7.799558998801924e-16,-0.040405694304356324,0.2749910643889498,-0.2638203217358884,0.2749910643889514,-0.2638203217358901
7,-4.928166752884497e-16,8.849037882221406e-16,1.0374961367844586,-1.6977457982492315e-16,5.192863525423032e-16,0.02476502157165637,2.3297822533152877e-16,-8.560489043955671e-15,-0.04594059630763419,5.460395199410094e-16,-5.432515181556848e-16,-0.035076154118951125,0.08200998291480376,-0.07229132328071926,0.0820099829148046,-0.07229132328071682
8,-2.905156725740604e-16,9.104095048786171e-17,1.0282112695031265,-1.3757632701115022e-16,4.349946157502834e-16,0.021491526485409976,3.734834307088931e-15,-7.238989643108039e-15,-0.14003346696868388,1.2954989541900722e-16,-1.0004652580189495e-15,-0.03044058624955262,-0.010593287134101893,0.019029543585530898,-0.01059328713409786,0.019029543585529978
9,1.5844783327777793e-17,-3.453387596815339e-16,1.0151084008658218,-1.33177993779805e-16,3.401979053353541e-16,0.01865068729844408,2.3666313918861693e-15,-1.3746769184600503e-15,-0.12196938121400816,6.5427792379705114e-18,-8.110236610729696e-16,-0.026416801679616294,-0.03675891742836002,0.04408022592848993,-0.03675891742835721,0.04408022592848764
10,8.538738637014402e-17,-2.810463095476897e-16,1.005368938965088,-1.290054950658758e-16,2.7668304222664455e-16,0.016185366674142183,-9.444682845285316e-16,2.6840308781466815e-15,-0.07267357733087981,8.431866119428146e-17,-4.617084115768039e-16,-0.022924814537571846,-0.03147303236588845,0.03782660061255822,-0.031473032365889504,0.03782660061255882
11,3.398372874084405e-17,-9.077838359085367e-17,1.0002082846406692,-1.1731121445013662e-16,2.405417241995989e-16,0.014045932390804858,-9.698427638679037e-18,1.0994172646885172e-15,-0.030414565144466395,1.3407185207442775e-16,-2.8668636963275043e-16,-0.019894402989471812,-0.017659313287197335,0.02317305081290124,-0.01765931328719766,0.023173050812900817
12,7.65044701995431e-19,-5.0772642971810844e-18,0.9984081433775052,-1.0236405191236684e-16,2.1464786937460166e-16,0.012189308808248336,-6.151801071256747e-16,6.271803013466566e-16,-0.005514897109555586,1.541873077772498e-16,-2.392671266914987e-16,-0.01726455879482155,-0.006024935378476466,0.010809856826137236,-0.00602493537847708,0.010809856826137715
13,-2.7012016213648505e-17,1.3453622878567564e-17,0.9983684454144893,-8.749721522524916e-17,1.9027096801922764e-16,0.010578113840123358,6.340142937066126e-17,-2.605834511552002e-16,0.004751047144732554,1.3354589551456122e-16,-2.4697481870806437e-16,-0.014982332660493572,0.0006421800970887305,0.0035102689175012343,0.0006421800970886848,0.0035102689175012507
14,-1.965961990511203e-17,-1.5498551072590706e-17,0.998930749682858,-7.5297688261406e-17,1.6536505834991067e-16,0.009179906697168191,8.937431656221873e-17,-3.2456323822563425e-16,0.006500092629941672,1.082177521620727e-16,-2.420988551836917e-16,-0.013001772968409797,0.0031990690995918557,0.000404517716679212,0.0031990690995920778,0.00040451771667919344
15,-1.199199103891593e-17,-3.1275385667976136e-17,0.999495810766894,-6.52803863843233e-17,1.4233720330017475e-16,0.007966534849109454,6.301425152380228e-17,1.3843975117741147e-18,0.004796058170054443,9.083385151502577e-17,-2.125583856168281e-16,-0.011283001501169796,0.003409254416387341,-0.00028197051982742485,0.0034092544163873495,-0.00028197051982745895
16,-7.853296109170077e-18,-3.0092678102084236e-17,0.9998632107899509,-5.668695901062137e-17,1.2263566061943616e-16,0.006913567264517938,1.3926762287385814e-17,1.651958551732921e-17,0.0025452298284252446,7.986953175614097e-17,-1.7914847978914159e-16,-0.009791410921856331,0.0027033686068405013,1.058137136400893e-05,0.0027033686068405733,1.0581371363991071e-05
17,-7.451311713114154e-18,-2.3019780039492915e-17,1.0000358856640563,-4.90677157904434e-17,1.0614402086240786e-16,0.005999802552594304,-1.1731096233472449e-17,1.2347272644863302e-16,0.0009032448092704453,7.117736288561203e-17,-1.496341289330454e-16,-0.008496968074758887,0.0018877264149233818,0.0004675361158299341,0.0018877264149233023,0.0004675361158299309
18,-8.643769041529846e-18,-1.6364755878952645e-17,1.0000830550875397,-4.2333004231450467e-17,9.215823593007178e-17,0.005206842118904993,-1.67363841218383e-17,8.513941486597333e-18,3.728348346704781e-05,6.222320119547707e-17,-1.292130240141753e-16,-0.007373609321563325,0.001273503939122747,0.0007704952844649462,0.0012735039391227627,0.0007704952844649749
19,-8.12392134273919e-18,-1.4467724438828724e-17,1.0000715151324175,-3.6539524934894684e-17,8.001278833575874e-17,0.0045187197429727,2.479634580624541e-17,2.984942019680658e-17,-0.00026938779603162495,5.2718998282532446e-17,-1.1214980307804066e-16,-0.006398715796992382,0.0008979565538753842,0.0008759359914294535,0.0008979565538753657,0.0008759359914294358
20,-6.897900692999094e-18,-1.2909106034975868e-17,1.0000439318977823,-3.1628718043301335e-17,6.945829450191014e-17,0.003921580120193073,-7.469056774540028e-19,2.7561265102378577e-18,-0.0002827604302748431,4.486403459473877e-17,-9.739960399591285e-17,-0.0055526580108996365,0.0006953076292861823,0.0008441960225854114,0.0006953076292862034,0.0008441960225854338
21,-5.398442565079237e-18,-1.1219061436025795e-17,1.0000202067730701,-2.7461528865796198e-17,6.032402052367745e-17,0.0034033998975902618,3.1265399183602786e-17,3.2433762736162674e-17,-0.00019192059514092763,3.797099927073842e-17,-8.390959866385815e-17,-0.004818400624687693,0.0005890217803137325,0.0007470911074444356,0.000589021780313717,0.0007470911074444113
22,-4.085599985650584e-18,-9.145574753449368e-18,1.0000058435959773,-2.388337293295194e-17,5.2429378070714996e-17,0.0029537455888435753,-4.5765076057694175e-18,9.929547725266587e-18,-9.548967934392812e-05,3.310024076946874e-17,-7.288241790634745e-17,-0.004181159448409177,0.0005252066022138434,0.000634418172986086,0.0005252066022138506,0.0006344181729861001
