# Solve Time (ms): 6.91633
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100,0,0,0,0.1,0,1.01482,1.00034,-0
1,-100,3,0,0.0565991,0.16002,0,1.01254,0.225389,-0
2,-98.302,7.80061,0,0.117023,0.169808,0,1.01029,-1.00018,-0
3,-94.7914,12.8949,0,0.178142,0.102074,0,1.00812,-1.00024,-0
4,-89.4471,15.9571,0,0.235044,0.0303024,0,1.00607,-1.00021,-0
5,-82.3958,16.8661,0,0.287667,-0.0452229,0,1.00418,-1.00012,-0
6,-73.7658,15.5095,0,0.33596,-0.124216,0,1.00251,-0.115293,-0
7,-63.687,11.783,0,0.379879,-0.153307,0,1.00111,1.00003,-0
8,-52.2906,7.18377,0,0.422892,-0.118377,0,-0.0547695,1.00006,-0
9,-39.6038,3.63245,0,0.406098,-0.0862844,0,-1.00063,1.00006,-0
10,-27.4209,1.04392,0,0.336053,-0.0530834,0,-1.00098,1.00004,-0
11,-17.3393,-0.548583,0,0.269505,-0.0152606,0,-1.00108,0.541546,-0
12,-9.25417,-1.0064,0,0.206544,-0.000555213,0,-1.00099,0.323067,-0
13,-3.05783,-1.02306,0,0.145441,0.00519685,0,-1.00078,0.218079,-0
14,1.30539,-0.867153,0,0.0854039,0.00868253,0,-1.00051,0.108117,-0
15,3.8675,-0.606677,0,0.0260886,0.0095329,0,-1.00024,-0.0129421,-0
16,4.65016,-0.32069,0,-0.0328756,0.00703452,0,-0.879493,-0.106513,-0
17,3.66389,-0.109654,0,-0.0846745,0.00281356,0,0.80332,-0.116302,-0
18,1.12366,-0.0252475,0,-0.0358906,0.00142397,0,0.498059,-0.0613319,-0
19,0.0469432,0.0174716,0,-0.00579067,0.000112834,0,0.129877,-0.0142971,-0
20,-0.126777,0.0208566,0,0.00201453,-0.000362809,0,-0.00424935,0.00376303,-0
21,-0.0663409,0.00997231,0,0.00172182,-0.000269986,0,-0.0191251,0.00491055,-0
22,-0.0146864,0.00187272,0,0.000549269,-8.89934e-05,0,-0.00848204,0.00209328,-0
23,0.00179163,-0.000797085,0,3.28734e-05,3.51642e-07,0,-0.00149659,0.000303295,-0
24,0.00277784,-0.000786536,0,-5.6704e-05,1.63797e-05,0,0.000404033,-0.00018676,-0
25,0.00107672,-0.000295144,0,-3.10784e-05,8.91656e-06,0,0.00038571,-0.000148824,-0
26,0.000144362,-2.76476e-05,0,-7.23013e-06,2.03828e-06,0,0.00012889,-4.82972e-05,-0
27,-7.25414e-05,3.35008e-05,0,6.53526e-07,-3.82364e-07,0,1.04807e-05,-1.70753e-06,-0
28,-5.29356e-05,2.20299e-05,0,1.24923e-06,-5.27948e-07,0,-1.17773e-05,6.61024e-06,-0
29,-1.54587e-05,6.19142e-06,0,5.01981e-07,-2.13783e-07,0,-6.87571e-06,3.64838e-06,-0
30,-3.99298e-07,-2.22063e-07,0,7.36456e-08,-2.80109e-08,0,-1.70203e-06,8.5615e-07,-0
31,1.81007e-06,-1.06239e-06,0,-3.03685e-08,1.84975e-08,0,8.7425e-08,-1.13998e-07,-0
32,8.99015e-07,-5.07466e-07,0,-2.3705e-08,1.36619e-08,0,2.58821e-07,-1.84923e-07,-0
33,1.87863e-07,-9.76096e-08,0,-7.17617e-09,4.13103e-09,0,1.09522e-07,-7.60124e-08,-0
34,-2.74217e-08,2.63211e-08,0,-3.11752e-10,4.39109e-11,0,1.80537e-08,-1.08931e-08,-0
35,-3.67742e-08,2.76384e-08,0,7.71382e-10,-5.89098e-10,0,-5.49767e-09,5.65205e-09,-0
36,-1.36328e-08,9.96548e-09,0,3.98636e-10,-3.00887e-10,0,-4.83286e-09,4.38831e-09,-0
37,-1.67368e-09,9.38877e-10,0,8.73219e-11,-6.3898e-11,0,-1.54702e-09,1.35985e-09,-0
38,9.45978e-10,-9.78062e-10,0,-9.89914e-12,1.19296e-11,0,-1.09544e-10,4.24752e-11,-0
39,6.49004e-10,-6.20175e-10,0,-1.55814e-11,1.51314e-11,0,1.42552e-10,-1.73305e-10,-0
40,1.81562e-10,-1.66232e-10,0,-5.95894e-12,5.76152e-12,0,7.92776e-11,-9.13103e-11,-0
41,2.79384e-12,6.61379e-12,0,-8.02252e-13,6.76198e-13,0,1.88158e-11,-2.02795e-11,-0
42,-2.12737e-11,2.68997e-11,0,3.71627e-13,-4.87621e-13,0,-1.12019e-12,2.95004e-12,-0
43,-1.01249e-11,1.22711e-11,0,2.69916e-13,-3.35146e-13,0,-2.8128e-12,4.29481e-12,-0
44,-2.02744e-12,2.2167e-12,0,7.79254e-14,-9.52722e-14,0,-1.14723e-12,1.68345e-12,-0
45,3.10317e-13,-6.41468e-13,0,2.58264e-15,5.91499e-16,0,-1.82559e-13,2.20532e-13,-0
46,3.87796e-13,-6.23723e-13,0,-8.29808e-15,1.3653e-14,0,5.47683e-14,-1.27516e-13,-0
47,1.38854e-13,-2.14134e-13,0,-4.06866e-15,6.5497e-15,0,4.70699e-14,-9.38748e-14,-0
48,1.67941e-14,-1.76434e-14,0,-7.97059e-16,1.18574e-15,0,1.53962e-14,-2.96017e-14,-0
49,-7.11761e-15,1.79288e-14,0,2.068e-16,-5.37755e-16,0,-7.5227e-16,2.43214e-15,-0
50,-9.13612e-16,1.79618e-15,0,1.25397e-16,-4.05475e-16,0,0,0,0
