# Solve Time (ms): 2.5140000000000002
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-1.9999999999577158,-1.9999999999577158,-1.9999999999577158,4.74120470660608e-11,4.741204706607391e-11,4.741201798978702e-11,1.4385040382860039e-11,1.438504038285575e-11,1.4385030563165313e-11,2.6836987440079714,2.6836987440079705,2.68369874397311
1,-1.999552716785273,-1.999552716785273,-1.999552716785279,0.013418493811939623,0.01341849381193962,0.01341849381176526,0.2683698744250442,0.2683698744250441,0.2683698744215581,1.433235665773988,1.4332356657739882,1.4332356658160965
2,-1.9966301453744493,-1.9966301453744493,-1.996630145374483,0.047421659621656786,0.04742165962165678,0.04742165962134432,0.41169344100719635,0.4116934410071963,0.41169344100792105,0.582747813428664,0.5827478134286641,0.582747813364682
3,-1.9897323875220079,-1.9897323875220079,-1.9897323875220798,0.0915047428228908,0.09150474282289078,0.09150474282233086,0.46996822235170493,0.46996822235170493,0.4699682223460314,0.023323159650287736,0.023323159650287542,0.023323159582329885
4,-1.978228184881314,-1.978228184881314,-1.978228184881482,0.13861818088433805,0.13861818088433805,0.13861818088287092,0.47230053831566604,0.472300538315666,0.4723005383031968,-0.32544030286766346,-0.3254403028676635,-0.3254403028423094
5,-1.9620591040995896,-1.9620591040995896,-1.9620591040999624,0.18422103322447458,0.18422103322447456,0.18422103322188724,0.439756508026251,0.43975650802625094,0.43975650801631716,-0.5228252472615973,-0.5228252472615971,-0.5228252472347426
6,-1.9415253557263032,-1.9415253557263032,-1.9415253557269798,0.22558255780866848,0.22558255780866848,0.22558255780522204,0.38747398329647564,0.38747398329647564,0.3874739832892273,-0.6125336752532785,-0.6125336752532783,-0.6125336752268836
7,-1.9171318189237576,-1.9171318189237576,-1.9171318189248108,0.26126728777517805,0.26126728777517805,0.26126728777113867,0.3262206157672479,0.3262206157672479,0.32622061576263905,-0.626796756512783,-0.626796756512783,-0.6267967564912288
8,-1.8894784531422029,-1.8894784531422029,-1.8894784531436795,0.2907553655776834,0.2907553655776834,0.29075536557329085,0.26354094011225154,0.26354094011225154,0.2635409401097981,-0.5894628590342009,-0.5894628590342008,-0.589462859077748
9,-1.85918345563875,-1.85918345563875,-1.8591834556406857,0.3141621452965152,0.3141621452965152,0.3141621452916596,0.20459465420580752,0.2045946542058075,0.20459465419899933,-0.5183349851929125,-0.5183349851929125,-0.5183349851977143
10,-1.826830656961365,-1.826830656961365,-1.8268306569638206,0.33202993579235207,0.33202993579235207,0.3320299357867916,0.15276115568340376,0.1527611556834037,0.1527611556761154,-0.4269565834927181,-0.4269565834927181,-0.42695658345192866
11,-1.7929350169916216,-1.7929350169916216,-1.792935016994663,0.34517126844014545,0.34517126844014534,0.34517126843405993,0.1100654973320604,0.11006549733206038,0.11006549732885099,-0.32600146766555704,-0.32600146766555693,-0.3260014676460894
12,-1.7579218962048815,-1.7579218962048815,-1.757921896208544,0.35454781083083636,0.35454781083083636,0.3545478108245272,0.07746535056409233,0.07746535056409232,0.07746535056282967,-0.22442680152211758,-0.22442680152211752,-0.22442680150167352
13,-1.7221171928106311,-1.7221171928106311,-1.7221171928149277,0.3611722118752705,0.36117221187527043,0.3611722118689372,0.055022670410935566,0.05502267041093556,0.05502267041171731,-0.13045518058664038,-0.13045518058664035,-0.13045518057820923
14,-1.6857466007849635,-1.6857466007849635,-1.685746600789888,0.3660222030093015,0.3660222030093015,0.36602220300308863,0.04197715235204615,0.04197715235204615,0.041977152353671006,-0.05247990930407409,-0.05247990930407406,-0.05247990929504572
15,-1.6489432413653125,-1.6489432413653125,-1.648943241370849,0.3699575186949362,0.3699575186949362,0.36995751868893095,0.036729161421718705,0.036729161421718705,0.03672916142424639,0.0,0.0,0.0
