# Solve Time (ms): 2.038584
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-2.0,-2.0,-2.0,-1.5310204103443325e-16,-1.530924829498561e-16,-1.5312894746543828e-16,-3.7500299468538646e-17,-3.749705217058399e-17,-3.750618033297688e-17,4.736539820299881,4.73653982029988,4.736539820299881
1,-1.999210576696617,-1.999210576696617,-1.999210576696617,0.023682699101499113,0.023682699101499113,0.023682699101499116,0.47365398202998804,0.473653982029988,0.47365398202998804,2.6906725820033626,2.690672582003362,2.6906725820033626
2,-1.9940255914459832,-1.9940255914459832,-1.9940255914459832,0.08450146021451461,0.0845014602145146,0.0845014602145146,0.7427212402303243,0.7427212402303242,0.7427212402303243,1.268574660284387,1.268574660284387,1.268574660284387
3,-1.981650410113333,-1.981650410113333,-1.981650410113333,0.16511645753896886,0.16511645753896886,0.16511645753896884,0.8695787062587631,0.869578706258763,0.8695787062587631,0.30103896717435524,0.3010389671743556,0.3010389671743554
4,-1.9607406976669468,-1.9607406976669468,-1.9607406976669468,0.25357952300071684,0.25357952300071684,0.25357952300071684,0.8996826029761986,0.8996826029761985,0.8996826029761986,-0.33694364427266205,-0.3369436442726616,-0.3369436442726619
5,-1.9309404896260396,-1.9309404896260396,-1.9309404896260396,0.3418630650769733,0.3418630650769733,0.3418630650769733,0.8659882385489324,0.8659882385489324,0.8659882385489324,-0.7376012648486352,-0.7376012648486349,-0.7376012648486352
6,-1.8925471754697392,-1.8925471754697392,-1.8925471754697392,0.42477388260762333,0.42477388260762333,0.42477388260762333,0.7922281120640688,0.7922281120640688,0.7922281120640688,-0.9688544670568985,-0.9688544670568983,-0.9688544670568984
7,-1.8462701223931663,-1.8462701223931663,-1.8462701223931663,0.49915242147874567,0.4991524214787457,0.49915242147874567,0.695342665358379,0.6953426653583791,0.695342665358379,-1.0806053878972084,-1.0806053878972082,-1.080605387897208
8,-1.7930582678164826,-1.7930582678164826,-1.7930582678164826,0.5632836610750974,0.5632836610750975,0.5632836610750974,0.5872821265686581,0.5872821265686582,0.5872821265686582,-1.1094057608886077,-1.1094057608886074,-1.1094057608886077
9,-1.7339783920362777,-1.7339783920362777,-1.7339783920362777,0.6164648449275203,0.6164648449275203,0.6164648449275203,0.4763415504797974,0.4763415504797975,0.4763415504797975,-1.0819220441367186,-1.0819220441367188,-1.0819220441367188
10,-1.6701305201318162,-1.6701305201318162,-1.6701305201318162,0.6586893897548164,0.6586893897548165,0.6586893897548164,0.36814934606612554,0.36814934606612565,0.3681493460661256,-1.0175079709379744,-1.0175079709379742,-1.0175079709379742
11,-1.602590419087827,-1.602590419087827,-1.602590419087827,0.6904167845067389,0.6904167845067392,0.6904167845067389,0.2663985489723281,0.26639854897232823,0.26639854897232823,-0.9301148485864379,-0.9301148485864379,-0.9301148485864379
12,-1.532371767033723,-1.5323717670337227,-1.532371767033723,0.7124060651610395,0.7124060651610397,0.7124060651610395,0.17338706411368432,0.1733870641136844,0.1733870641136844,-0.8297105939611874,-0.8297105939611872,-0.8297105939611874
13,-1.4604025102960438,-1.4604025102960438,-1.4604025102960438,0.725596218602602,0.725596218602602,0.725596218602602,0.09041600471756558,0.09041600471756567,0.09041600471756567,-0.7233345034750879,-0.7233345034750877,-0.7233345034750877
14,-1.3875113641627752,-1.387511364162775,-1.3875113641627752,0.7310211465569831,0.7310211465569832,0.7310211465569831,0.01808255437005681,0.018082554370056913,0.018082554370056906,-0.6158821601016933,-0.6158821601016932,-0.615882160101693
15,-1.3144214837619104,-1.3144214837619101,-1.3144214837619104,0.7297499911934804,0.7297499911934804,0.7297499911934804,-0.04350566164011251,-0.0435056616401124,-0.0435056616401124,-0.5106907515722677,-0.5106907515722677,-0.5106907515722677
16,-1.241749128076025,-1.241749128076025,-1.241749128076025,0.7228459712716078,0.7228459712716078,0.7228459712716078,-0.0945747367973393,-0.09457473679733917,-0.09457473679733917,-0.4099772427138923,-0.4099772427138924,-0.40997724271389235
17,-1.1700057341733034,-1.1700057341733034,-1.1700057341733032,0.7113386113783045,0.7113386113783045,0.7113386113783045,-0.13557246106872853,-0.13557246106872842,-0.13557246106872842,-0.31516870979749384,-0.31516870979749395,-0.3151687097974939
18,-1.0996022634591163,-1.099602263459116,-1.099602263459116,0.6962055217224441,0.6962055217224441,0.6962055217224441,-0.1670893320484779,-0.1670893320484778,-0.1670893320484778,-0.22715452686291218,-0.22715452686291224,-0.2271545268629122
19,-1.0308550170349247,-1.0308550170349247,-1.0308550170349247,0.6783608158832817,0.6783608158832817,0.6783608158832817,-0.18980478473476914,-0.18980478473476906,-0.18980478473476903,-0.1464831305144656,-0.14648313051446557,-0.14648313051446557
20,-0.9639923732253564,-0.9639923732253564,-0.9639923732253562,0.6586479217572324,0.6586479217572324,0.6586479217572324,-0.20445309778621568,-0.2044530977862156,-0.20445309778621557,-0.07352115616412032,-0.07352115616412036,-0.07352115616412039
21,-0.8991621000645915,-0.8991621000645915,-0.8991621000645914,0.6378350061977903,0.6378350061977902,0.6378350061977902,-0.2118052134026277,-0.21180521340262762,-0.21180521340262762,-0.008589392898442528,-0.008589392898442542,-0.008589392898442587
22,-0.8364390570773089,-0.8364390570773089,-0.8364390570773088,0.6166115378930354,0.6166115378930354,0.6166115378930354,-0.21266415269247196,-0.21266415269247188,-0.21266415269247188,0.04791205361767614,0.04791205361767611,0.04791205361767603
23,-0.7758332387091981,-0.7758332387091981,-0.775833238709198,0.5955846828918767,0.5955846828918766,0.5955846828918766,-0.20787294733070436,-0.20787294733070427,-0.20787294733070427,0.09537795451585648,0.09537795451585639,0.09537795451585633
24,-0.7172982388309114,-0.7172982388309114,-0.7172982388309113,0.5752742779313855,0.5752742779313854,0.5752742779313855,-0.1983351518791187,-0.19833515187911863,-0.19833515187911865,0.13286000623800262,0.13286000623800248,0.1328600062380024
25,-0.6607403434627953,-0.6607403434627953,-0.6607403434627952,0.5561050627746636,0.5561050627746635,0.5561050627746636,-0.18504915125531843,-0.18504915125531837,-0.1850491512553184,0.15890414173536735,0.1589041417353673,0.1589041417353672
26,-0.606028598917983,-0.606028598917983,-0.6060285989179829,0.5383946683578087,0.5383946683578086,0.5383946683578087,-0.16915873708178172,-0.16915873708178167,-0.1691587370817817,0.17134829592145695,0.1713482959214569,0.17134829592145692
27,-0.553006367718291,-0.5530063677182909,-0.5530063677182909,0.5223355361292378,0.5223355361292377,0.5223355361292378,-0.152023907489636,-0.15202390748963596,-0.15202390748963598,0.16706227648613417,0.1670622764861341,0.16706227648613414
28,-0.5015050899300677,-0.5015050899300676,-0.5015050899300676,0.5079684567627047,0.5079684567627047,0.5079684567627047,-0.1353176798410226,-0.13531767984102255,-0.13531767984102258,0.14160620743054714,0.14160620743054705,0.14160620743054708
29,-0.4513612316184306,-0.4513612316184306,-0.45136123161843045,0.49514471981575525,0.4951447198157552,0.49514471981575525,-0.12115705909796788,-0.12115705909796784,-0.12115705909796787,0.08877671919612308,0.08877671919612305,0.08877671919612307
30,-0.4024377488124789,-0.4024377488124789,-0.40243774881247873,0.4834728975019391,0.48347289750193906,0.4834728975019391,-0.11227938717835557,-0.11227938717835555,-0.11227938717835557,0.0,0.0,0.0
