# Solve Time (ms): 0.268083
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,4.41304057303795e-18,9.150076925731286e-18,1.425719846458645e-06,1.776875922122744e-18,-2.0957489882540197e-19,6.086722462302913e-08,1.0642130194169897e-16,6.928366170198251e-17,4.475091057192014e-07,9.691722350802913e-19,-1.5190564513572923e-18,-4.078247149130595e-07,-0.9915414916292139,1.7357992294670768,-0.9915414916292133,1.7357992294670517
1,-1.7899653661935168e-15,5.547322058805584e-17,0.08291339831663655,-1.0679346111119824e-17,-1.4305886493116848e-18,0.015778278301803617,-3.5768983376802764e-14,8.750864085411632e-16,1.6631330232812653,-5.743333492642625e-16,-2.9148072218581174e-17,0.31362935663735997,-0.9915729939653567,0.584359673864641,-0.9915729939653578,0.5843596738647016
2,-9.720782327327514e-16,5.2000838017013075e-17,0.2971354155303027,-1.7381825451605782e-16,-7.91490488096588e-18,0.03825736750853277,5.235210262322276e-14,7.427650878501169e-17,2.6241368537337544,-2.6230460961256562e-15,-9.938068500781479e-17,0.13719966083647367,-0.4333640321569418,0.017555458537365974,-0.43336403215694763,0.017555458537340515
3,2.4175295163005135e-15,-3.8667283245887733e-16,0.573257157350069,-4.135462667692949e-16,-1.5152352879639165e-17,0.04305245752392923,1.4838130580783855e-14,-8.331536046173717e-15,2.89910761593243,-1.5629009119086255e-15,2.940059467212302e-17,-0.040135077055498035,0.7511979358496963,-0.7737464958781217,0.7511979358497131,-0.7737464958781519
4,1.6187548764424776e-15,-2.9245370922828354e-17,0.81680963716872,-4.774263542806983e-16,2.3131408829826488e-17,0.038593065257164764,-2.8628051962390915e-14,1.6983378299570864e-14,1.9691965491127694,5.553615116035272e-16,4.550195649520551e-16,-0.04901906428152037,0.832754671137992,-0.8210128783004247,0.8327546711379719,-0.8210128783004058
5,1.1190277546047541e-16,2.147568337136965e-16,0.9634548235142383,-3.757065225777108e-16,5.3965471305138475e-17,0.03397933499687607,-1.5354051089751375e-15,-1.208893552630638e-14,0.9607291246224888,1.1706489964248835e-15,1.1667072700931123e-16,-0.04331626405050541,0.5633916561374797,-0.5501084387100031,0.5633916561374935,-0.5501084387100087
6,-4.55998697974445e-16,6.328341213863681e-18,1.0256773987764365,-2.566775010896606e-16,6.869506213387209e-17,0.029963994037270496,-9.728113637166972e-15,7.274989240203955e-15,0.2817167731869332,1.0618003924306867e-15,1.8821480967995006e-16,-0.037051715214461226,0.2749902641612235,-0.26293498188856296,0.2749902641612164,-0.26293498188855197
7,-6.290662201059306e-16,2.161045652754907e-16,1.037496167188438,-1.8113826023260788e-16,7.952149516904785e-17,0.026544056680076252,6.141672701858317e-15,-2.8603326547797903e-15,-0.04631004129631564,3.856525376460813e-16,-4.898534642233354e-18,-0.0314010792527698,0.0823236650511959,-0.07153324078772803,0.08232366505119734,-0.07153324078773
8,-1.4992248041250974e-16,3.7579902322892583e-17,1.0281878887905451,-1.6380090927080311e-16,7.242126299093348e-17,0.023657840906472244,3.266118571053077e-15,-6.093608060959127e-16,-0.1401319742002569,2.6799636052808763e-17,-1.0762706185125219e-16,-0.02637046296223327,-0.009988529519334186,0.01970544958766627,-0.009988529519333803,0.01970544958766433
9,3.669344456185684e-17,8.022418551360167e-18,1.0150773573157306,-1.635916705469251e-16,6.07406881367784e-17,0.02124789883793314,4.71307503533762e-16,-4.0251318546829235e-17,-0.12202456763404927,-6.712185231366308e-18,-1.2085672794695678e-16,-0.0218696831475073,-0.035928958084361313,0.044765621420840535,-0.03592895808436183,0.04476562142084058
