# Solve Time (ms): 0.080375
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-2,-2,-2,0,0,0,0,0,0,2.68355,2.68355,2.68355
1,-1.99955,-1.99955,-1.99955,0.0134178,0.0134178,0.0134178,0.268355,0.268355,0.268355,1.43331,1.43331,1.43331
2,-1.99663,-1.99663,-1.99663,0.0474199,0.0474199,0.0474199,0.411687,0.411687,0.411687,0.58285,0.58285,0.58285
3,-1.98973,-1.98973,-1.98973,0.0915028,0.0915028,0.0915028,0.469972,0.469972,0.469972,0.0233839,0.0233839,0.0233839
4,-1.97823,-1.97823,-1.97823,0.138617,0.138617,0.138617,0.47231,0.47231,0.47231,-0.325421,-0.325421,-0.325421
5,-1.96206,-1.96206,-1.96206,0.184221,0.184221,0.184221,0.439768,0.439768,0.439768,-0.522835,-0.522835,-0.522835
6,-1.94153,-1.94153,-1.94153,0.225583,0.225583,0.225583,0.387485,0.387485,0.387485,-0.612556,-0.612556,-0.612556
7,-1.91713,-1.91713,-1.91713,0.261269,0.261269,0.261269,0.326229,0.326229,0.326229,-0.626821,-0.626821,-0.626821
8,-1.88948,-1.88948,-1.88948,0.290758,0.290758,0.290758,0.263547,0.263547,0.263547,-0.589485,-0.589485,-0.589485
9,-1.85918,-1.85918,-1.85918,0.314165,0.314165,0.314165,0.204598,0.204598,0.204598,-0.518353,-0.518353,-0.518353
10,-1.82683,-1.82683,-1.82683,0.332033,0.332033,0.332033,0.152763,0.152763,0.152763,-0.426967,-0.426967,-0.426967
11,-1.79293,-1.79293,-1.79293,0.345175,0.345175,0.345175,0.110066,0.110066,0.110066,-0.326007,-0.326007,-0.326007
12,-1.75792,-1.75792,-1.75792,0.354551,0.354551,0.354551,0.0774657,0.0774657,0.0774657,-0.224431,-0.224431,-0.224431
13,-1.72212,-1.72212,-1.72212,0.361176,0.361176,0.361176,0.0550225,0.0550225,0.0550225,-0.130459,-0.130459,-0.130459
14,-1.68574,-1.68574,-1.68574,0.366026,0.366026,0.366026,0.0419766,0.0419766,0.0419766,-0.0524844,-0.0524844,-0.0524844
15,-1.64894,-1.64894,-1.64894,0.369961,0.369961,0.369961,0.0367282,0.0367282,0.0367282,0,0,0
