# Solve Time (ms): 0.242458
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991571,1.73152,-0.991571,1.73152
1,-8.05628e-17,1.06624e-17,0.0827821,-6.92268e-19,-8.33441e-20,0.015687,-1.612e-15,2.9064e-16,1.66054,-2.3589e-17,-4.3752e-18,0.311816,-0.991574,0.583828,-0.991574,0.583828
2,2.55805e-16,6.70643e-17,0.296729,-5.38672e-18,-1.68893e-18,0.037975,8.34936e-15,7.43639e-16,2.62122,-1.82589e-17,-3.76526e-17,0.13519,-0.438374,0.0209355,-0.438374,0.0209355
3,1.92827e-17,-8.37565e-17,0.572814,9.789e-18,-8.01179e-18,0.0425361,-1.30676e-14,-3.77829e-15,2.90131,2.90132e-16,-6.49206e-17,-0.0428003,0.75182,-0.774936,0.75182,-0.774936
4,-3.54073e-16,-1.87176e-16,0.816532,2.63436e-17,-6.58465e-18,0.0378003,5.54445e-15,1.6919e-15,1.97029,-3.04434e-17,1.146e-16,-0.051882,0.832932,-0.821753,0.832932,-0.821753
5,-2.45619e-17,1.13987e-16,0.963259,1.30186e-17,1.01707e-17,0.0328906,1.12818e-15,4.16854e-15,0.961267,-1.77555e-16,1.69715e-16,-0.0463722,0.562864,-0.550286,0.562864,-0.550286
6,1.6911e-16,1.03527e-16,1.02555,-3.34488e-18,1.82891e-17,0.0285571,2.77098e-15,-4.33096e-15,0.282469,-1.17245e-16,-9.19313e-18,-0.0403576,0.274509,-0.263325,0.274509,-0.263325
7,1.20818e-16,7.68424e-17,1.03744,-4.98175e-18,1.58994e-17,0.0247907,-3.7581e-15,3.7818e-15,-0.0455024,7.79007e-17,-3.08445e-17,-0.0350233,0.0820447,-0.0723107,0.0820447,-0.0723107
8,-9.45235e-17,7.58801e-17,1.0282,3.95198e-18,6.17076e-18,0.0215228,-5.61699e-16,-3.78397e-15,-0.139628,6.29199e-17,-1.66622e-16,-0.030382,-0.0103373,0.0187919,-0.0103373,0.0187919
9,-3.22977e-17,-2.67342e-16,1.01512,5.66062e-18,-8.2974e-18,0.0186881,1.8056e-15,-3.08181e-15,-0.121865,-1.89628e-17,-6.46876e-17,-0.0263514,-0.0365776,0.0439207,-0.0365776,0.0439207
10,1.18421e-16,-1.29728e-16,1.00538,4.8481e-18,-4.20786e-19,0.0162297,1.21172e-15,5.82833e-15,-0.0727775,2.83827e-17,2.02059e-16,-0.0228512,-0.0314451,0.0378243,-0.0314451,0.0378243
11,1.45189e-17,1.14891e-16,1.00021,1.35213e-17,1.94232e-17,0.0140982,-3.28713e-15,-9.3136e-16,-0.030537,1.29123e-16,1.50729e-16,-0.0198111,-0.0177118,0.0232555,-0.0177118,0.0232555
12,-2.47408e-16,7.27055e-17,0.998403,2.23308e-17,2.9838e-17,0.0122504,-1.95138e-15,8.53376e-17,-0.00555511,2.54396e-18,6.5462e-17,-0.0171698,-0.00606613,0.010886,-0.00606613,0.010886
13,-1.78293e-16,4.51808e-17,0.998363,9.57129e-18,3.29456e-17,0.0106494,3.33191e-15,-6.3641e-16,0.00478227,-2.47643e-16,1.24563e-18,-0.0148744,0.000651278,0.00354173,0.000651278,0.00354173
14,1.43822e-16,1.0201e-16,0.998929,-1.84557e-17,3.08869e-17,0.00926271,3.1111e-15,1.77163e-15,0.00654487,-2.58379e-16,-5.08567e-17,-0.0128784,0.00324606,0.000404551,0.00324606,0.000404551
15,3.37879e-16,1.26465e-17,0.999497,-3.3058e-17,2.02319e-17,0.00806257,7.71297e-16,-3.5555e-15,0.00481212,-6.32399e-19,-1.49184e-16,-0.0111417,0.00346409,-0.000282379,0.00346409,-0.000282379
16,2.198e-16,-1.38779e-16,0.999864,-1.70114e-17,8.81732e-18,0.00702477,-3.13071e-15,5.25513e-16,0.00252752,3.02452e-16,-5.2046e-17,-0.00962931,0.00274626,3.06291e-05,0.00274626,3.06291e-05
17,-3.79319e-17,-4.52973e-17,1.00003,1.91663e-17,9.24775e-18,0.00612841,-2.02455e-15,1.34339e-15,0.000871532,3.76958e-16,4.48864e-17,-0.00831084,0.00191724,0.00051073,0.00191724,0.00051073
18,-2.54444e-16,-5.15208e-17,1.00008,5.13539e-17,1.49232e-17,0.00535545,-2.30555e-15,-1.46608e-15,1.3843e-05,2.30862e-16,6.842e-17,-0.0071597,0.00130003,0.000827904,0.00130003,0.000827904
19,-3.51349e-16,1.13559e-17,1.00007,5.92541e-17,2.48391e-17,0.00469032,3.65992e-16,2.72134e-15,-0.000274062,-8.94363e-17,1.20963e-16,-0.00615273,0.000933355,0.000937398,0.000933355,0.000937398
20,-1.69574e-16,1.70313e-16,1.00004,3.50216e-17,3.28657e-17,0.00411963,3.26806e-15,4.58899e-16,-0.000271597,-3.65007e-16,1.2038e-17,-0.00526964,0.000746312,0.000904924,0.000746312,0.000904924
21,1.26826e-16,1.24571e-16,1.00002,-4.48467e-18,2.57717e-17,0.00363189,2.66034e-15,-1.37258e-15,-0.000174875,-3.7485e-16,-1.46539e-16,-0.00449266,0.000656314,0.000808652,0.000656314,0.000808652
22,3.0381e-16,-5.89058e-17,1,-3.196e-17,7.73408e-18,0.00321727,8.80346e-16,-2.29648e-15,-8.19793e-05,-1.44748e-16,-1.83533e-16,-0.00380614,0.000606084,0.00070211,0.000606084,0.00070211
23,2.5072e-16,-1.56647e-16,0.999998,-3.12509e-17,-5.01358e-18,0.00286744,-1.9407e-15,3.40234e-16,-2.34228e-05,1.50295e-16,-5.41789e-17,-0.00319625,0.000566927,0.000610835,0.000566927,0.000610835
24,-2.48687e-17,-4.17453e-17,0.999997,-7.88528e-18,-3.9565e-18,0.00257534,-3.57007e-15,1.95691e-15,3.35187e-06,2.70827e-16,5.6242e-17,-0.00265072,0.000529537,0.000541507,0.000529537,0.000541507
25,-2.68361e-16,6.66202e-17,0.999998,1.29932e-17,1.25052e-18,0.00233509,-1.30113e-15,2.11426e-16,1.06513e-05,1.05129e-16,2.89004e-17,-0.00215856,0.000493974,0.000491912,0.000493974,0.000491912
26,-1.57509e-16,4.61872e-17,0.999999,1.02356e-17,8.71678e-19,0.00214186,3.51548e-15,-6.19618e-16,9.39362e-06,-1.42879e-16,-3.31958e-17,-0.00170986,0.000463014,0.000457516,0.000463014,0.000457516
27,1.77444e-16,-7.76476e-17,0.999999,-6.13678e-18,-3.17257e-18,0.00199176,3.18369e-15,-1.85633e-15,6.04096e-06,-1.27836e-16,-2.72938e-17,-0.00129562,0.000438847,0.000434325,0.000438847,0.000434325
28,1.62305e-16,-8.03074e-17,1,-7.8212e-18,-6.3293e-19,0.00188175,-3.48281e-15,1.80111e-15,3.28329e-06,9.38091e-17,7.98198e-17,-0.000907714,0.000420097,0.000417464,0.000420097,0.000417464
29,-1.04328e-16,5.08496e-17,1,4.50742e-18,8.727e-18,0.00180946,-1.85071e-15,8.22576e-16,1.67792e-06,1.06932e-16,8.4782e-17,-0.000540787,0.000378267,0.000377148,0.000378267,0.000377148
30,-1.92613e-16,1.11724e-16,1,7.8626e-18,1.35165e-17,0.00177183,8.39467e-17,3.95179e-16,9.95602e-07,-5.51199e-17,7.88932e-19,-0.000214127,0,0,0,0
