# Solve Time (ms): 3.3382110000000003
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-2.0,-2.0,-2.0,-1.5400924991888451e-16,-1.54014083371057e-16,-1.5399201769569422e-16,-3.844268512155291e-17,-3.844664866881609e-17,-3.84383718361513e-17,4.980706866702377,4.980706866702378,4.980706866702377
1,-1.9991698821888833,-1.9991698821888833,-1.9991698821888833,0.024903534333511595,0.024903534333511595,0.02490353433351159,0.4980706866702377,0.49807068667023774,0.49807068667023763,2.8425499693098906,2.8425499693098906,2.842549969309891
2,-1.9937154169939626,-1.9937154169939626,-1.9937154169939626,0.08892335284708469,0.0889233528470847,0.08892335284708469,0.7823256836012267,0.7823256836012268,0.7823256836012267,1.3540965866461716,1.3540965866461718,1.3540965866461718
3,-1.980685770526807,-1.980685770526807,-1.980685770526807,0.17392640414043808,0.17392640414043814,0.1739264041404381,0.9177353422658439,0.917735342265844,0.9177353422658439,0.33912919703697664,0.339129197036977,0.339129197036977
4,-1.9586479318685945,-1.9586479318685945,-1.9586479318685945,0.2673955843522073,0.26739558435220734,0.2673955843522073,0.9516482619695416,0.9516482619695417,0.9516482619695417,-0.3325636095344297,-0.3325636095344296,-0.3325636095344296
5,-1.927205559391782,-1.927205559391782,-1.927205559391782,0.3608975925014892,0.3608975925014892,0.3608975925014892,0.9183919010160987,0.9183919010160988,0.9183919010160987,-0.7570703511998484,-0.7570703511998486,-0.7570703511998488
6,-1.8866500190284197,-1.8866500190284197,-1.8866500190284197,0.44895143084709976,0.44895143084709976,0.44895143084709976,0.8426848658961137,0.8426848658961138,0.8426848658961138,-1.0051763627355617,-1.0051763627355619,-1.0051763627355619
7,-1.8377089810080185,-1.8377089810080185,-1.8377089810080185,0.5281940356230331,0.5281940356230332,0.5281940356230332,0.7421672296225575,0.7421672296225577,0.7421672296225575,-1.1289096027201742,-1.1289096027201744,-1.1289096027201742
8,-1.781366892898056,-1.781366892898056,-1.781366892898056,0.596766210571688,0.5967662105716881,0.5967662105716881,0.6292762693505402,0.6292762693505403,0.6292762693505403,-1.1663988876095854,-1.1663988876095859,-1.1663988876095854
9,-1.718738290308736,-1.718738290308736,-1.718738290308736,0.6538618430686941,0.6538618430686941,0.6538618430686941,0.5126363805895817,0.5126363805895817,0.5126363805895817,-1.1454797085472848,-1.145479708547285,-1.1454797085472848
10,-1.6509798373836768,-1.6509798373836768,-1.6509798373836768,0.6993980825849158,0.6993980825849158,0.6993980825849158,0.39808840973485315,0.39808840973485315,0.3980884097348532,-1.0863705361929543,-1.0863705361929543,-1.0863705361929543
11,-1.5792306488325434,-1.5792306488325434,-1.5792306488325434,0.7337750708774362,0.7337750708774363,0.7337750708774363,0.2894513561155577,0.2894513561155577,0.2894513561155578,-1.0036592086284153,-1.0036592086284153,-1.0036592086284153
12,-1.5045731614989934,-1.5045731614989934,-1.5045731614989934,0.75770191044585,0.75770191044585,0.75770191044585,0.1890854352527162,0.1890854352527162,0.18908543525271626,-0.9077771828268325,-0.9077771828268326,-0.9077771828268323
13,-1.4280088394752828,-1.4280088394752828,-1.4280088394752828,0.7720715680569873,0.7720715680569874,0.7720715680569874,0.09830771697003295,0.09830771697003295,0.09830771697003302,-0.8060935726431978,-0.8060935726431978,-0.8060935726431976
14,-1.3504444930135076,-1.3504444930135076,-1.3504444930135076,0.7778718718907747,0.7778718718907748,0.7778718718907747,0.017698359705713176,0.017698359705713172,0.017698359705713256,-0.7037268779098087,-0.7037268779098088,-0.7037268779098086
15,-1.2726861018388864,-1.2726861018388864,-1.2726861018388866,0.7761230734717969,0.776123073471797,0.7761230734717969,-0.052674328085267674,-0.05267432808526769,-0.052674328085267605,-0.604147071475657,-0.604147071475657,-0.6041470714756569
16,-1.1954378573107125,-1.1954378573107125,-1.1954378573107125,0.7678349053058918,0.7678349053058919,0.7678349053058918,-0.11308903523283337,-0.1130890352328334,-0.1130890352328333,-0.5096219853437717,-0.5096219853437718,-0.5096219853437717
17,-1.1193047489538446,-1.1193047489538446,-1.1193047489538446,0.7539778918558897,0.7539778918558897,0.7539778918558897,-0.16405123376721054,-0.16405123376721056,-0.16405123376721045,-0.4215480420234215,-0.4215480420234215,-0.4215480420234214
18,-1.0447974739440957,-1.0447974739440957,-1.0447974739440957,0.7354650282690515,0.7354650282690515,0.7354650282690515,-0.2062060379695527,-0.20620603796955272,-0.2062060379695526,-0.3406950661865802,-0.34069506618658024,-0.3406950661865803
19,-0.9723387838180695,-0.9723387838180695,-0.9723387838180695,0.7131409491411634,0.7131409491411634,0.7131409491411634,-0.2402755445882107,-0.24027554458821074,-0.24027554458821063,-0.26738725987637973,-0.2673872598763796,-0.2673872598763798
20,-0.9022706311702071,-0.9022706311702071,-0.9022706311702072,0.6877764583829604,0.6877764583829604,0.6877764583829604,-0.2670142705758487,-0.26701427057584876,-0.26701427057584864,-0.2016367456237571,-0.201636745623757,-0.2016367456237572
21,-0.8348616628090609,-0.8348616628090609,-0.8348616628090609,0.6600668475972569,0.6600668475972569,0.6600668475972569,-0.28717794513822437,-0.2871779451382244,-0.2871779451382243,-0.14324186673089737,-0.14324186673089725,-0.14324186673089748
22,-0.7703147414194815,-0.7703147414194815,-0.7703147414194816,0.6306328437497799,0.6306328437497799,0.6306328437497799,-0.30150213181131413,-0.30150213181131413,-0.3015021318113141,-0.09185930496928,-0.09185930496927994,-0.09185930496928008
23,-0.7087742775877217,-0.7087742775877217,-0.7087742775877217,0.600023334043802,0.600023334043802,0.600023334043802,-0.31068806230824214,-0.31068806230824214,-0.3106880623082421,-0.0470567528586056,-0.04705675285860555,-0.047056752858605715
24,-0.6503332272870258,-0.6503332272870257,-0.6503332272870258,0.5687192440486849,0.5687192440486849,0.5687192440486849,-0.31539373759410266,-0.31539373759410266,-0.3153937375941026,-0.008351152754474183,-0.008351152754474142,-0.008351152754474279
25,-0.5950396634289202,-0.5950396634289202,-0.5950396634289203,0.5371381145255022,0.5371381145255021,0.5371381145255022,-0.3162288528695501,-0.3162288528695501,-0.3162288528695501,0.024763765922335982,0.024763765922335996,0.024763765922335874
26,-0.5429028689463975,-0.5429028689463975,-0.5429028689463976,0.505639048068159,0.505639048068159,0.505639048068159,-0.3137524762773165,-0.3137524762773165,-0.3137524762773165,0.05279787110433566,0.05279787110433567,0.05279787110433561
27,-0.49389892687578413,-0.4938989268757841,-0.4938989268757842,0.47452778979594895,0.47452778979594895,0.474527789795949,-0.308472689166883,-0.308472689166883,-0.308472689166883,0.07625085999627382,0.07625085999627387,0.07625085999627379
28,-0.4479758028653576,-0.4479758028653576,-0.44797580286535765,0.44406177517924206,0.44406177517924206,0.4440617751792421,-0.3008476031672555,-0.3008476031672555,-0.3008476031672555,0.09560278812136334,0.0956027881213634,0.09560278812136332
29,-0.4050579295652495,-0.40505792956524944,-0.40505792956524955,0.4144550288031234,0.41445502880312335,0.41445502880312346,-0.2912873243551192,-0.2912873243551192,-0.2912873243551192,0.11130773306670666,0.11130773306670663,0.11130773306670659
30,-0.36505031201786825,-0.36505031201786825,-0.3650503120178683,0.385882835032945,0.385882835032945,0.38588283503294507,-0.28015655104844855,-0.2801565510484485,-0.28015655104844855,0.12378971693447394,0.12378971693447384,0.12378971693447387
31,-0.32784217965032697,-0.3278421796503269,-0.32784217965032697,0.35848612851277256,0.35848612851277256,0.3584861285127726,-0.2677775793550012,-0.2677775793550012,-0.2677775793550012,0.1334402216830689,0.13344022168306885,0.13344022168306882
32,-0.2933102146588775,-0.2933102146588775,-0.2933102146588776,0.3323755716856878,0.3323755716856878,0.3323755716856879,-0.2544335571866943,-0.25443355718669425,-0.2544335571866943,0.14061678391708607,0.140616783917086,0.14061678391708604
33,-0.26132138914558933,-0.26132138914558933,-0.2613213891455894,0.3076352998866038,0.3076352998866038,0.3076352998866039,-0.24037187879498567,-0.24037187879498567,-0.2403718787949857,0.14564226356576404,0.14564226356576399,0.14564226356576407
34,-0.23173544484030964,-0.23173544484030958,-0.23173544484030967,0.284326323324934,0.284326323324934,0.2843263233249341,-0.22580765243840925,-0.22580765243840928,-0.22580765243840928,0.14880445363457404,0.14880445363457404,0.1488044536345741
35,-0.20440705002773588,-0.20440705002773582,-0.20440705002773588,0.262489580349266,0.262489580349266,0.2624895803492661,-0.21092720707495186,-0.21092720707495188,-0.21092720707495188,0.15035574206666577,0.15035574206666577,0.15035574206666588
36,-0.1791876687378396,-0.17918766873783953,-0.1791876687378396,0.24214863835210418,0.24214863835210418,0.24214863835210423,-0.1958916328682853,-0.19589163286828531,-0.1958916328682853,0.15051255539597402,0.15051255539597405,0.15051255539597405
37,-0.15592717764107128,-0.15592717764107122,-0.15592717764107128,0.2233120378422555,0.2233120378422555,0.2233120378422556,-0.18084037732868788,-0.18084037732868788,-0.18084037732868788,0.14945430876802515,0.14945430876802518,0.14945430876802515
38,-0.13447526669202783,-0.13447526669202778,-0.13447526669202783,0.2059752716532269,0.20597527165322688,0.20597527165322693,-0.16589494645188538,-0.16589494645188538,-0.16589494645188538,0.14732155740158204,0.14732155740158204,0.14732155740158207
39,-0.11468266066606433,-0.11468266066606428,-0.11468266066606432,0.19012238479504628,0.19012238479504628,0.1901223847950463,-0.15116279071172717,-0.15116279071172717,-0.15116279071172714,0.14421298785373643,0.14421298785373643,0.14421298785373646
40,-0.09640220064214271,-0.09640220064214267,-0.0964022006421427,0.17572717066314228,0.17572717066314225,0.17572717066314228,-0.13674149192635351,-0.13674149192635354,-0.13674149192635351,0.14018079830214192,0.14018079830214195,0.1401807983021419
41,-0.07948982756907656,-0.07948982756907651,-0.07948982756907652,0.1627539254620176,0.1627539254620176,0.1627539254620176,-0.12272341209613934,-0.12272341209613934,-0.12272341209613934,0.13522388734629703,0.13522388734629706,0.13522388734629703
42,-0.06380551476879777,-0.06380551476879773,-0.06380551476879776,0.1511577036891352,0.15115770368913517,0.1511577036891352,-0.10920102336150962,-0.10920102336150962,-0.10920102336150962,0.12927808880366917,0.12927808880366917,0.1292780888036692
43,-0.049214203168557846,-0.04921420316855782,-0.04921420316855784,0.1408839917970026,0.14088399179700256,0.1408839917970026,-0.0962732144811427,-0.0962732144811427,-0.0962732144811427,0.12220243919843195,0.12220243919843196,0.12220243919843193
44,-0.03558680298806356,-0.035586802988063534,-0.035586802988063555,0.1318676825448805,0.13186768254488046,0.13186768254488046,-0.08405297056129953,-0.08405297056129953,-0.08405297056129953,0.11376012250686474,0.11376012250686475,0.11376012250686472
45,-0.022801339565964203,-0.02280133956596418,-0.0228013395659642,0.12403118610128486,0.12403118610128484,0.12403118610128484,-0.07267695831061304,-0.07267695831061304,-0.07267695831061304,0.10359227242964703,0.10359227242964705,0.10359227242964704
46,-0.010744340368650507,-0.010744340368650483,-0.010744340368650502,0.11728145163237179,0.11728145163237177,0.11728145163237179,-0.06231773106764834,-0.06231773106764833,-0.06231773106764833,0.09118218423101476,0.09118218423101475,0.09118218423101476
47,0.0006874131699536011,0.0006874131699536256,0.0006874131699536066,0.11150558944676203,0.11150558944676202,0.11150558944676202,-0.053199512644546865,-0.053199512644546865,-0.053199512644546865,0.07580663951201648,0.07580663951201648,0.07580663951201648
48,0.011584608991325742,0.011584608991325764,0.011584608991325747,0.10656467137986744,0.10656467137986743,0.10656467137986743,-0.04561884869334522,-0.04561884869334521,-0.04561884869334521,0.056469901852484024,0.05646990185248403,0.05646990185248402
49,0.022022393536154507,0.022022393536154528,0.022022393536154514,0.10228513601979533,0.10228513601979532,0.10228513601979532,-0.039971858508096814,-0.03997185850809681,-0.039971858508096814,0.03181439607222716,0.03181439607222715,0.03181439607222715
50,0.03205635024493893,0.03205635024493895,0.032056350244938935,0.09844702214934681,0.09844702214934678,0.0984470221493468,-0.0367904189008741,-0.036790418900874096,-0.036790418900874096,0.0,0.0,0.0
