# Solve Time (ms): 10.479875
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,u0,u1,u2
0,-1.9999999999982874,-1.9999999999982874,-1.9999999999982876,1.534819769177548e-12,1.5348197690838364e-12,1.5347930937741108e-12,5.095868884406812e-13,5.095868884380716e-13,5.095876396808587e-13,4.980718488657232,4.9807184886572315,4.980718488703103
1,-1.999169880248387,-1.999169880248387,-1.9991698802483795,0.024903592446243288,0.024903592446243284,0.024903592446472587,0.4980718488665972,0.4980718488665971,0.4980718488711842,2.842553906013932,2.8425539060139315,2.8425539061819594
2,-1.9937154027734978,-1.9937154027734978,-1.9937154027734163,0.08892354686418462,0.0889235468641846,0.08892354686571274,0.782327239468231,0.7823272394682309,0.7823272394896209,1.3540989138283974,1.3540989138283976,1.354098914137195
3,-1.9806857287358726,-1.9806857287358726,-1.9806857287354798,0.1739267653812074,0.17392676538120738,0.17392676538641846,0.917737130851226,0.9177371308512258,0.9177371309034954,0.3391311624042143,0.33913116240421437,0.33913116287922945
4,-1.9586478446815783,-1.9586478446815783,-1.9586478446803235,0.2673961342792639,0.2673961342792639,0.267396134292077,0.9516502470917506,0.9516502470917505,0.9516502471915217,-0.3325687759274391,-0.33256877592743894,-0.33256877640675947
5,-1.9272054081456036,-1.9272054081456036,-1.9272054081426495,0.3608983151093618,0.36089831510936177,0.3608983151297554,0.9183933694988115,0.9183933694988115,0.9183933695506504,-0.7570747673916236,-0.7570747673916234,-0.7570747677195767
6,-1.8866497889132527,-1.8866497889132527,-1.8866497889080542,0.4489522782226943,0.4489522782226942,0.44895227824663186,0.8426858927594717,0.8426858927594717,0.8426858927785155,-1.0051802238844085,-1.0051802238844083,-1.0051802241026733
7,-1.8377086616627702,-1.8377086616627702,-1.8377086616551188,0.5281949663794927,0.5281949663794926,0.5281949664042433,0.7421678703708768,0.7421678703708767,0.7421678703680941,-1.128912980852314,-1.128912980852314,-1.1289129809921816
8,-1.7813664778347857,-1.7813664778347857,-1.781366477824697,0.5967671885124647,0.5967671885124646,0.5967671885362378,0.6292765722855098,0.6292765722855098,0.6292765722687402,-1.1664018202959823,-1.1664018202959823,-1.1664018203801965
9,-1.7187377764239014,-1.7187377764239014,-1.718737776411533,0.6538628366395617,0.6538628366395617,0.6538628366612367,0.5126363902557922,0.5126363902557922,0.5126363902306011,-1.1454822212003204,-1.1454822212003206,-1.145482221245317
10,-1.6509792245106647,-1.6509792245106647,-1.6509792244962624,0.6993990645590532,0.6993990645590532,0.6993990645779841,0.39808816813565706,0.398088168135657,0.3980881681059664,-1.0863726544113312,-1.086372654411331,-1.086372654429033
11,-1.5792299393216742,-1.5792299393216744,-1.5792299393055302,0.7337760181003727,0.7337760181003726,0.733776018116246,0.28945090269443885,0.2894509026944388,0.289450902662978,-1.0036609644969172,-1.0036609644969172,-1.0036609644959078
12,-1.5045723598241698,-1.5045723598241698,-1.5045723598065959,0.7577028035470502,0.7577028035470501,0.7577028035597824,0.18908480624468224,0.18908480624468224,0.18908480621332235,-0.9077786125781521,-0.9077786125781521,-0.9077786125645798
13,-1.4280079518723323,-1.4280079518723323,-1.4280079518536395,0.7720723911082666,0.7720723911082665,0.7720723911179307,0.09830694498682378,0.09830694498682378,0.09830694495682109,-0.8060947108445207,-0.8060947108445206,-0.806094710822858
14,-1.3504435271537865,-1.3504435271537865,-1.3504435271342734,0.7778726120523008,0.7778726120523008,0.7778726120590731,0.017697473902349714,0.017697473902349707,0.017697473874513266,-0.7037277549171305,-0.7037277549171305,-0.703727754890675
15,-1.2726850665370237,-1.2726850665370235,-1.272685066516968,0.7761237206674747,0.7761237206674747,0.7761237206715955,-0.052675301589366064,-0.052675301589366064,-0.052675301614556955,-0.6041477134566962,-0.604147713456696,-0.604147713427863
16,-1.1954367622627131,-1.195436762262713,-1.1954367622423663,0.7678354519407425,0.7678354519407425,0.7678354519424884,-0.11309007293502192,-0.11309007293502192,-0.11309007295732951,-0.5096224146963823,-0.5096224146963821,-0.509622414666905
17,-1.1193036045014326,-1.1193036045014324,-1.119303604481018,0.7539783325732214,0.7539783325732213,0.7539783325728839,-0.16405231440463308,-0.16405231440463308,-0.16405231442399296,-0.42154827770229913,-0.4215482777022991,-0.4215482776733931
18,-1.0447962908615076,-1.0447962908615076,-1.0447962908412187,0.7354653597436954,0.7354653597436953,0.7354653597415665,-0.2062071421748259,-0.20620714217482589,-0.20620714219129516,-0.34069512427684373,-0.3406951242768437,-0.34069512424933696
