# Solve Time (ms): 7.3020000000000005
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,-3.112355227895088e-27,-2.9763735178764526e-27,1.4043333172140162e-16,3.055859474129676e-34,3.086733763388386e-33,-1.0316126234441992e-16,9.892559385130625e-29,4.515127698333923e-26,-1.1157883197604601e-10,2.0313530238383747e-36,1.4975750011921391e-33,4.183183955105867e-19,-0.9915999999999937,1.7314837653436865,-0.991599999999994,1.7314837653436865
1,2.4942896753848e-17,3.332792276095176e-17,0.08278174639203,-8.935873968250851e-20,2.0659007074240095e-19,0.015685535825286086,-1.5208142151571874e-16,-5.328923881154869e-16,1.6605364796377295,-1.8799631968462465e-17,-4.418932067961656e-18,0.31178701871583286,-0.9915999999999965,0.5837906091672512,-0.9915999999999948,0.5837906091672512
2,1.7320228168316845e-17,-1.1096760015471861e-16,0.29672726882662204,-9.416528658992781e-19,1.7308560702397798e-17,0.03796924899624235,-2.0427180887037547e-16,6.667617932245166e-16,2.6212096728723098,-4.542775834217974e-18,-1.2010329254681236e-17,0.13513462133069035,-0.438636468627849,0.02133768586538194,-0.4386364686278504,0.02133768586538207
3,3.9088361597509053e-19,1.9945036487017408e-16,0.5728314504006545,-7.662340753046642e-19,-2.2026004810637578e-17,0.04252786923768232,-1.2290958144520907e-16,-5.130321720334201e-16,2.9017019121715166,7.754442098626485e-18,-6.450763391366707e-17,-0.0427961588939062,0.7521157811250225,-0.7752141478802577,0.7521157811250226,-0.7752141478802574
4,-8.297842533179923e-18,1.1096334120666592e-16,0.8165708117813861,-7.03012836236757e-20,-7.306806121941301e-18,0.037792804900195806,6.770183499826897e-18,-3.5244429068284326e-16,1.9703361215014596,7.014439078187212e-18,-4.283192986979029e-17,-0.051870749797596094,0.8331573161537795,-0.821982546253689,0.8331573161537801,-0.821982546253689
5,-7.153673113815224e-18,-3.327585535868218e-17,0.9632881721186287,2.813733523040968e-19,-1.0009935139837685e-17,0.032884131642156096,6.362514066622889e-17,2.3863946792017e-17,0.961031833456919,1.752770414844689e-18,-2.030125143785857e-17,-0.046362892214814884,0.5628244656400265,-0.5502492246334657,0.5628244656400266,-0.5502492246334657
6,-2.717548433098889e-18,-4.070749185424781e-17,1.0255539152841735,2.125223116354323e-19,-1.0605949941945655e-17,0.028551527843785486,4.9099056978534305e-17,1.4508708931943295e-16,0.28227949713854417,-1.3888285905850813e-18,4.6595658167252215e-18,-0.040349697114541984,0.2743669715408347,-0.2631855428140921,0.27436697154083467,-0.2631855428140921
7,1.8057684977228803e-19,1.401213408999105e-17,1.0374402685661501,9.006987557759169e-21,-9.136417056723625e-18,0.024785884179029802,1.371205110424679e-17,1.6807150657200655e-16,-0.04552002608577703,-1.505571984884812e-18,2.007554870796315e-17,-0.03501645771352874,0.08197022170161468,-0.07223806664354011,0.08197022170161464,-0.07223806664354011
8,7.324547715013893e-19,3.628580710784641e-18,1.0282003339929313,-1.1814009430143202e-19,-6.4541235750622285e-18,0.02151857326107891,-8.372557693060863e-18,2.9980520495455e-17,-0.13955624031704775,-4.035167161620197e-19,1.6554853735442697e-17,-0.030376074123267753,-0.01031434785729028,0.018767349319912092,-0.010314347857290303,0.018767349319912092
9,1.6056553797647291e-19,2.6278737807280515e-18,1.0151287935556592,-1.3680847613452108e-19,-8.492994271898532e-18,0.01868447033905827,-1.2371020262127138e-17,-3.222151846250286e-17,-0.12182222137953884,4.091686362913893e-19,8.643290256352013e-18,-0.026346187765420595,-0.03651897604052452,0.04386064569068742,-0.036518976040524544,0.04386064569068742
