# Solve Time (ms): 0.382291
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991571,1.73146,-0.991571,1.73146
1,2.17377e-16,-2.73961e-17,0.0827802,1.71449e-18,2.24916e-19,0.0156857,4.1704e-15,-5.25774e-16,1.66051,6.60171e-17,6.95463e-18,0.31179,-0.991574,0.58382,-0.991574,0.58382
2,4.50152e-16,-1.7508e-17,0.296723,2.39972e-17,2.60302e-18,0.0379708,4.40841e-16,6.95144e-16,2.62118,4.19865e-16,3.9382e-17,0.135161,-0.438433,0.0209704,-0.438433,0.0209704
3,-1.35158e-16,5.07094e-17,0.572807,8.3119e-17,6.28893e-18,0.0425286,-1.21414e-14,6.67302e-16,2.90132,6.68473e-16,2.26086e-17,-0.0428394,0.751805,-0.774928,0.751805,-0.774928
4,-7.76967e-16,-6.57621e-17,0.816526,1.28113e-16,6.51003e-18,0.0377887,-5.9228e-16,-3.12194e-15,1.97032,1.21026e-16,3.06613e-19,-0.0519238,0.832933,-0.821762,0.832933,-0.821762
5,-3.06954e-16,-7.73402e-17,0.963256,1.05646e-16,1.22805e-17,0.0328747,1.01367e-14,2.89942e-15,0.96129,-4.92732e-16,1.19485e-16,-0.0464169,0.562867,-0.550299,0.562867,-0.550299
6,3.09116e-16,2.01954e-16,1.02554,5.47172e-17,2.3343e-17,0.0285366,2.22445e-15,2.71949e-15,0.282482,-4.17031e-16,5.40185e-17,-0.0404059,0.274509,-0.263338,0.274509,-0.263338
7,2.09775e-16,1.36187e-16,1.03744,2.93366e-17,1.72829e-17,0.0247651,-4.19645e-15,-4.06472e-15,-0.0454972,-1.05671e-16,-1.66379e-16,-0.0350763,0.0820407,-0.0723221,0.0820407,-0.0723221
8,5.14237e-17,-1.78524e-16,1.0282,2.45357e-17,-1.25326e-19,0.0214916,1.02158e-15,-2.22904e-15,-0.139628,-1.98898e-17,-1.27813e-16,-0.0304407,-0.0103451,0.0187813,-0.0103451,0.0187813
9,1.08831e-16,-1.7812e-16,1.01512,2.63355e-17,-2.37101e-18,0.0186507,1.2588e-16,2.23521e-15,-0.121866,6.57336e-17,8.41227e-17,-0.0264168,-0.0365883,0.0439096,-0.0365883,0.0439096
10,1.61094e-17,9.69911e-17,1.00538,3.74981e-17,1.06661e-17,0.0161854,-1.9782e-15,3.26025e-15,-0.0727788,1.42549e-16,1.30456e-16,-0.0229248,-0.0314582,0.0378118,-0.0314582,0.0378118
11,-8.48935e-17,1.37741e-16,1.00021,5.00581e-17,1.60138e-17,0.0140459,-4.45309e-17,-2.44075e-15,-0.0305379,9.09197e-17,-3.23439e-17,-0.0198944,-0.0177272,0.0232409,-0.0177272,0.0232409
12,-2.54119e-16,-1.09303e-17,0.998403,5.35013e-17,9.19995e-18,0.0121893,-3.33645e-15,-5.32432e-16,-0.00555557,-4.88891e-17,-7.78719e-17,-0.0172645,-0.00608384,0.0108688,-0.00608384,0.0108688
13,-1.63332e-17,-2.29981e-17,0.998363,3.56347e-17,2.51994e-18,0.0105781,8.08551e-15,2.90057e-16,0.00478212,-2.72583e-16,-5.344e-17,-0.0149823,0.00063087,0.00352157,0.00063087,0.00352157
14,2.17259e-16,-7.05124e-17,0.998929,1.59822e-17,-1.49074e-18,0.00917989,-3.40804e-15,-1.23945e-15,0.00654488,-7.66187e-17,-1.95126e-17,-0.0130017,0.00322251,0.00038108,0.00322251,0.00038108
15,1.64242e-16,-1.23521e-17,0.999497,1.59093e-17,4.92543e-19,0.00796651,2.34449e-15,2.40087e-15,0.00481217,6.32785e-17,5.07163e-17,-0.011283,0.00343688,-0.000309596,0.00343688,-0.000309596
16,1.25222e-16,-5.56375e-17,0.999864,3.16927e-17,4.62706e-18,0.00691354,-3.12187e-15,-3.26438e-15,0.00252757,2.47693e-16,3.692e-17,-0.00979137,0.00271481,-8.50623e-07,0.00271481,-8.50623e-07
17,-2.49866e-16,-7.36815e-17,1.00003,5.68598e-17,1.3679e-17,0.00599977,-4.37921e-15,2.89996e-15,0.000871563,1.92975e-16,1.49563e-16,-0.00849692,0.0018809,0.000474369,0.0018809,0.000474369
18,-1.17924e-16,8.32239e-17,1.00008,6.15123e-17,2.85714e-17,0.00520681,7.01175e-15,2.39209e-16,1.38604e-05,-8.16768e-17,1.20731e-16,-0.00737356,0.00125807,0.000785934,0.00125807,0.000785934
19,8.98603e-17,1.90576e-16,1.00007,5.47965e-17,3.54142e-17,0.00451868,-2.85069e-15,1.90696e-15,-0.000274049,-1.34188e-17,-9.33356e-19,-0.00639866,0.000884923,0.000888974,0.000884923,0.000888974
20,-1.31501e-16,1.45008e-16,1.00004,5.3816e-17,2.49231e-17,0.00392154,-1.57718e-15,-2.81565e-15,-0.000271578,-4.4145e-17,-2.02683e-16,-0.0055526,0.000690438,0.000849068,0.000690438,0.000849068
21,-5.59335e-17,-5.42414e-17,1.00002,4.24239e-17,1.56522e-18,0.00340336,3.08581e-15,-1.17019e-15,-0.000174845,-1.72603e-16,-2.30068e-16,-0.00481834,0.000591881,0.000744234,0.000591881,0.000744234
22,7.88719e-17,-2.19811e-16,1,2.60733e-17,-1.6337e-17,0.00295371,-3.87859e-16,-2.14063e-15,-8.19402e-05,-1.30292e-16,-1.00839e-16,-0.0041811,0.000531801,0.000627824,0.000531801,0.000627824
