# Solve Time (ms): 6.169166000000001
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-99.99999995449737,-9.28507640829541e-09,0.0,3.278009241673329e-07,0.10000001591290113,0.0,1.0005068736836573,1.0000117321322812,0.0
1,-99.99998878297912,3.000000189549773,0.0,0.05574102463073905,0.16000070476449813,0.0,1.0004280040348845,0.2402884378897318,0.0
2,-98.32775672999155,7.800021053930343,0.0,0.11543699187253179,0.17073910352632726,0.0,1.0003505090639242,-1.0000061883187568,0.0
3,-94.86464568976223,12.922193880921714,0.0,0.17601910648351926,0.10311988730420776,0.0,1.0002756177578258,-1.0000083118167935,0.0
4,-89.58407125697462,16.015790232490204,0.0,0.23251095027186466,0.03150212292079892,0.0,1.0002049026991109,-1.000007217518953,0.0
5,-82.60874157895384,16.960853676720266,0.0,0.28484679373183497,-0.043844036883033934,0.0,1.000140174341859,-1.0000041914921716,0.0
6,-74.0633366935748,15.645532365844808,0.0,0.33296548416067245,-0.12264417910200232,0.0,1.000083378179986,-0.19559967340128995,0.0
7,-64.07437122374877,11.966206844488111,0.0,0.37681052027505435,-0.15635588189800945,0.0,1.0000364970187117,1.0000011634519432,0.0
8,-52.770054833539874,7.275530314818683,0.0,0.4195155432672823,-0.12122530577865116,0.0,-0.11525125929126061,1.0000020937739516,0.0
9,-40.184587952770876,3.6387711240031786,0.0,0.3988529394700836,-0.08891320483738874,0.0,-1.000018848397584,1.0000021284847957,0.0
10,-28.218999424697405,0.9713749988903457,0.0,0.32860742488223366,-0.05523736994345654,0.0,-1.0000278144839847,1.0000014149203917,0.0
11,-18.360776526902065,-0.6857460571077085,0.0,0.2618870250106653,-0.01692537429948874,0.0,-1.0000279379410888,0.5237666394649179,0.0
12,-10.504165773626081,-1.1935072397160698,0.0,0.19876876984872754,-0.002783919323159045,0.0,-1.0000217389048183,0.4547252312591311,0.0
13,-4.5411027809039455,-1.2770247901414022,0.0,0.13743981103383396,0.011380855821733047,0.0,-1.0000116676045483,0.46234439991533005,0.0
14,-0.41790861715632627,-0.9355991023216713,0.0,0.07769571484650617,0.03005049235820933,0.0,-0.3513240935458274,-0.10995248215673332,0.0
15,1.9129626377121363,-0.034084328594474425,0.0,0.058554091363336586,0.018325426229469963,0.0,0.0,0.0,0.0
