# Solve Time (ms): 0.853
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100.00000000000004,-5.199485462352319e-15,0.0,1.683732654683657e-12,0.10000000000019128,0.0,0.9999999999993847,0.9999999999999816,0.0
1,-99.99999999999804,3.0000000000021982,0.0,0.05571000000371572,0.1600000000000538,0.0,0.9999999999998395,0.24081628201538552,0.0
2,-98.32869999992265,7.800000000007332,0.0,0.11538000000381769,0.17077211692081506,0.0,0.9999999999998395,-1.000000000000017,0.0
3,-94.8672999997967,12.923163507633557,0.0,0.17594296429122255,0.10315703692058145,0.0,1.0000000000005216,-0.9999999999999816,0.0
4,-89.58901107104738,16.01787461525125,0.0,0.23242027975939608,0.03154480127735253,0.0,0.9999999999998395,-0.9999999999999993,0.0
5,-82.61640267825766,16.96421865357245,0.0,0.28474599333875394,-0.043794937186734974,0.0,1.0000000000000668,-1.0000000000000029,0.0
6,-74.07402287809472,15.65037053797047,0.0,0.33285860123319616,-0.12258817274712192,0.0,1.00000000000001,-0.1976232916612164,0.0
7,-64.08826484109629,11.972725355557085,0.0,0.3767011207409772,-0.1564142379281819,0.0,0.9999999999998963,1.0000000000000002,0.0
8,-52.78723121886824,7.280298217711683,0.0,0.4193985689964505,-0.12127651189707969,0.0,-0.1110261840729163,1.0000000000000002,0.0
9,-40.20527414897419,3.642002860799262,0.0,0.3989842186871534,-0.08895681745084892,0.0,-0.9999999999999958,0.9999999999999987,0.0
10,-28.235747588358887,0.9732983372737635,0.0,0.32873471438058804,-0.05528977588420185,0.0,-0.9999999999999958,0.9999999999999991,0.0
11,-18.37370615694212,-0.6853949392523561,0.0,0.2620107162598179,-0.01698626703332309,0.0,-1.00000000000001,0.5249658070849826,0.0
12,-10.513384669146387,-1.1949829502521423,0.0,0.198888726035066,-0.0027810258813753324,0.0,-1.00000000000001,0.4550924389456466,0.0
13,-4.5467228880939725,-1.278413726693395,0.0,0.13756027073642332,0.011397864537046736,0.0,-0.9999999999999887,0.46266729840102694,0.0
14,-0.4199147660012428,-0.9364777905820013,0.0,0.07781739167334605,0.030078924572503496,0.0,-0.35186829670082015,-0.11004246425760385,0.0
15,1.9146069841989202,-0.034110053406894256,0.0,0.058644774175071725,0.01834042886660706,0.0,0.0,0.0,0.0
