# Solve Time (ms): 10.131875
k,x0,x1,x2,x3,x4,x5,u0,u1,u2
0,-100.00000000005858,5.812609239859583e-11,8.577103315306617e-27,-4.526760781297947e-09,0.09999999973583247,2.630616910666144e-26,1.0000000549790193,0.9999999403239468,8.400417977669461e-21
1,-100.00000013927068,2.999999993876883,1.0551618573614126e-24,0.05570999448592579,0.15999999633560896,5.040576104963408e-22,1.0000000545417576,0.24217156470146567,4.1270307846740487e-20
2,-98.32870030976731,7.799999885744008,1.5123040589999407e-20,0.11537999362848267,0.1708534305785638,2.980262058926024e-21,1.000000053780551,-0.9999997450707344,-7.100998236675164e-20
3,-94.86730050618837,12.925602804928014,1.045302454613283e-19,0.17594832435385493,0.10323836637748829,-1.2808494109236642e-21,1.0000000524163322,-0.9999997659562292,-1.3950779064395802e-20
4,-89.58885078039448,16.022753797724743,6.61051815180546e-20,0.23243100758604793,0.03162579118276123,-2.121688042987655e-21,1.000000049971286,-0.9999996119237609,3.378402861149339e-20
5,-82.61592055912949,16.97152753515873,2.4543801122314393e-21,0.2847620843890134,-0.04371463184632079,-9.703037510136154e-23,1.0000000450791418,-0.9999988816640565,-1.3854155467288218e-20
6,-74.07305803517677,15.660088582260693,-4.566682128117391e-22,0.3328800456898217,-0.12250886219430715,-9.283423061577927e-22,1.0000000332721897,-0.17582859988507238,-1.1794384544738154e-20
7,-64.08665667349618,11.984822719427061,-2.83067841641936e-20,0.37672790550946156,-0.15502866123267406,-1.6359743865278494e-21,0.9999999912217893,0.9999961600843913,6.140972829756507e-20
8,-52.78481951811917,7.333962885789401,-7.738566114446934e-20,0.41951697593369747,-0.11989293365022186,2.049623942949629e-21,0.0627246801991742,0.9999966733587352,-2.265748003765471e-20
9,-40.19931024729442,3.737174878883696,-1.5896999377246286e-20,0.4096192563127117,-0.08758125412296736,6.929769609385228e-22,-0.9999999289252404,0.9999942217317179,-1.4265523629340007e-20
10,-27.910732565749523,1.1097372552207667,4.8923846276172995e-21,0.3394611935313747,-0.054616472241342855,-1.6239072314450006e-22,-0.9999999628281614,0.9999669403899519,4.311344445281458e-21
11,-17.726896767724416,-0.5287569143508889,2.0577508870904914e-23,0.27281703102124666,-0.01702289499417059,9.610575520882541e-23,-0.9999999583372488,0.5741088262359779,-9.300155807173237e-21
12,-9.542385844360576,-1.0394437688018578,2.903585622449732e-21,0.20976306515515927,-0.000582289623393428,-4.618980584503263e-22,-0.9999999308316301,0.3294418619380195,8.253603870321432e-21
13,-3.2494938954829617,-1.0569124610156673,-1.0953555240123863e-20,0.14868547458328393,0.005339859764591693,3.3234796910635555e-23,-0.9999998636116201,0.22171652947075948,1.2710885569868843e-20
14,1.2110703388679107,-0.8967166705631738,-9.956529449494523e-21,0.08868404608405955,0.008829610213398158,7.963087083817389e-22,-0.9999996828298079,0.11371511866917805,-2.4239314131872455e-20
15,3.8715917218894695,-0.6318283661928454,1.393257896446046e-20,0.029398707368446457,0.00979937029376806,-6.576533847517039e-22,-0.9999989438550947,-0.007922649809753029,1.0800178557106721e-20
16,4.753552947967009,-0.33784725901251267,-5.797057351841581e-21,-0.029532852456260354,0.007383696614360626,-1.0110494962485653e-23,-0.999204974514162,-0.10668606855150525,6.0545261843788e-21
17,3.8675673845920366,-0.11633636154230467,-6.10041157349431e-21,-0.08848016381046263,0.002931700753119708,3.534125858242577e-22,0.8250473330967755,-0.1208209331444882,-5.909464341670878e-21
18,1.2131624867212814,-0.028385339106555215,4.5020475026049105e-21,-0.03836265356247495,0.001522135582468099,-8.990865977273351e-25,0.527913664483435,-0.06509291172970962,-2.714856301649857e-22
19,0.06228288169898583,0.017278728392414906,4.475331434820586e-21,-0.006455259559213062,0.00014849603215050247,-1.7337280122521462e-23,0.14110245280932462,-0.015749332588187837,-1.2561502748223326e-20
20,-0.13137490646925643,0.021733609525645552,3.9553134521611875e-21,0.0020274708568274367,-0.00037041678084392976,-7.711832540683264e-22,-0.0028791916090990842,0.0036635929656179964,2.8034415261930915e-20
21,-0.07055078177542204,0.010621106226818833,-1.9180069897910186e-20,0.001815965108307086,-0.000284414276843051,9.107358133631349e-22,-0.01995647076449765,0.005134759554840796,-2.0720996261104125e-20
22,-0.016071828813081997,0.0020886779618411204,8.142131585071169e-21,0.0005921225448563335,-9.618240151222453e-05,-3.318398087800498e-22,-0.009055157913497073,0.002238159257536594,1.0774011799981871e-20
23,0.0016918475373638156,-0.0007967940861660024,-1.8128036592613705e-21,4.071481356513699e-05,-9.72934869383319e-07,3.1427267102252774e-22,-0.001658004473505316,0.0003438097113493039,-8.233920637558721e-21
24,0.0029132919837322516,-0.000825982140773373,7.615327812203408e-21,-5.864542531560797e-05,1.6968469873878444e-05,-1.797254043258227e-22,0.00040299333263614295,-0.00018940901460694229,-9.217935971960435e-22
25,0.0011539292391970135,-0.0003169280479249112,2.223475572796213e-21,-3.3028648969324077e-05,9.47452709508178e-06,-2.3533128554158136e-22,0.0004063341650862694,-0.00015692390924805982,9.613997876644574e-21
26,0.00016306977031729138,-3.2692235016400856e-05,-4.836845166554308e-21,-7.897617505143873e-06,2.2389834001974557e-06,3.414360885379133e-22,0.00013875450572626972,-5.214148591928184e-05,-8.822208913465037e-21
27,-7.385875678291087e-05,3.447726754349482e-05,5.405826985867234e-21,5.931840711917443e-07,-3.6826301764767964e-07,-1.8768045084873648e-22,1.245254436855315e-05,-2.4342846156853796e-06,-2.510818309751816e-21
28,-5.606323508797338e-05,2.3429377107058602e-05,-2.2481575476829714e-22,1.3079882177964483e-06,-5.534702725093575e-07,-3.3846739613854117e-22,-1.2122421058146274e-05,6.832016644077286e-06,1.5560834172833652e-20
29,-1.6823588121719302e-05,6.8252687604522985e-06,-1.0378788579390388e-20,5.380086566080449e-07,-2.298765135912755e-07,5.95245415061205e-22,-7.290687175887075e-06,3.875193657179313e-06,-1.53950354671262e-20
30,-6.833280494812379e-07,-7.102678372084441e-08,7.478949820054685e-21,8.35634841879237e-08,-3.287347192785083e-08,-3.2805527508446022e-22,-1.853415037314128e-06,9.408996401855958e-07,5.236179444011771e-21
31,1.8235765498195452e-06,-1.0572309686358754e-06,-2.3626790870550384e-21,-2.9885490719973714e-08,1.8065312756784154e-08,-1.4133237083227073e-23,6.747630245756971e-08,-1.0218045633061434e-07,-7.200474449421794e-22
32,9.270117415688751e-07,-5.152715634477515e-07,-2.7865818262790566e-21,-2.444601700098507e-08,1.3906922355461775e-08,-5.723497510881202e-23,2.667420875380176e-07,-1.892313232830369e-07,5.390210213056749e-21
33,1.9363114317902035e-07,-9.806388255402076e-08,-4.503529347291152e-21,-7.422679334735866e-09,4.166473597320555e-09,2.662861653415544e-22,1.1433233385472907e-07,-7.83614555996077e-08,-3.4153001457373945e-21
34,-2.9049267828296158e-08,2.6930306247415282e-08,3.485128932755897e-21,-2.666596042019229e-10,-4.532227926617467e-11,6.153317744661627e-23,1.8514411141814198e-08,-1.0553091453058102e-08,-9.876405529920482e-21
35,-3.704904135358577e-08,2.5570602980124574e-08,5.331039599433051e-21,8.380549792899623e-10,-6.609111783491512e-10,-5.311692508600412e-22,-6.224296235411243e-09,6.58688653807325e-09,1.359041762209609e-20
36,-1.1907361940897897e-08,5.7432355492303e-09,-1.0603972451339176e-20,4.1694467819936147e-10,-3.2101019778809006e-10,2.8406528550696524e-22,-5.323179901410874e-09,4.9635206007895894e-09,-8.06888784794595e-22
37,6.010034256796775e-10,-3.8870896904131785e-09,-2.0821577343551287e-21,7.507085260874214e-11,-5.0716410453815036e-11,2.3605142678097423e-22,-1.6788403863648026e-09,1.5424133253857076e-09,-1.1421674269452092e-20
38,2.853142529160913e-09,-5.408588116299378e-09,4.9994085620758814e-21,-2.8942011363379832e-11,3.687512576568234e-11,-4.491609229975865e-22,-7.940955687484391e-11,3.132756539215996e-11,1.8385103640543966e-20
39,1.984886108208016e-09,-4.302331838829575e-09,-8.475442427435623e-21,-3.0962944611328525e-11,4.0666220006649365e-11,6.537782664892306e-22,1.9836315266219896e-10,-2.392214961164038e-10,-1.578800635391508e-20
40,1.05599641286295e-09,-3.0823393029494855e-09,1.1137959903495563e-20,-1.6161691449778795e-11,2.8357329602920066e-11,-2.931843833700342e-22,1.1559765439756043e-10,-1.5889403977240494e-10,1.746192720523845e-21
41,5.711426102663464e-10,-2.2316136217896742e-09,2.342402906176955e-21,-7.239643105908232e-12,1.9890776467646825e-11,-1.8880511085439003e-22,3.422514303429219e-11,-7.993639237939124e-11,4.591197909799684e-21
42,3.539505363050039e-10,-1.6348862858673448e-09,-3.3219060533497744e-21,-3.8113135244356785e-12,1.5572522565471775e-11,8.660632270718663e-23,2.5645527376891242e-12,-5.1014846948941915e-11,4.147594357276274e-21
43,2.396093160537752e-10,-1.1677085170866878e-09,-7.235084581829483e-22,-2.591137952531426e-12,1.2763130811304615e-11,3.355905118867713e-22,-3.3659587081658272e-12,-4.565559944975028e-11,-1.109167228443482e-20
44,1.6187429533917774e-10,-7.848139586803583e-10,9.344287560236124e-21,-1.9246026399220588e-12,1.0194711257352219e-11,-3.298818342385411e-22,-2.1786604491111478e-12,-4.335907994184568e-11,3.974367463649819e-21
45,1.0413596448136126e-10,-4.789727942800154e-10,-5.521235887805529e-22,-1.3647968980092015e-12,7.720102463917449e-12,-9.176070201273906e-23,-5.70314168396514e-13,-3.7837616595152285e-11,7.893028001387007e-22
46,6.319212361520745e-11,-2.4737017455813676e-10,-3.3049639381376638e-21,-8.781112094027966e-13,5.539867528987488e-12,-4.4382574097161915e-23,1.6004303661842012e-13,-2.983413754697112e-11,5.110806141672847e-21
47,3.684895055449488e-11,-8.117457173223345e-11,-4.636372749598606e-21,-4.959727262700822e-13,3.80775166620283e-12,2.623802537025722e-22,8.752995784147463e-14,-2.20590288291835e-11,-9.221668572728578e-21
48,2.196991429894993e-11,3.305770377331629e-11,3.2350849339219353e-21,-2.353849796055017e-13,2.516941846985633e-12,-2.9076125180316973e-22,-4.126142161703023e-13,-1.5239871555757515e-11,8.162049676035505e-21
49,1.490845966977373e-11,1.0856584009579006e-10,-5.488037926034665e-21,-9.162658669627602e-14,1.618091699323853e-12,1.9885750113952537e-22,4.2783051778030133e-13,1.3582741642745075e-13,5.585953449545815e-21
50,1.215972871152088e-11,1.57108670293335e-10,4.778054433187203e-22,4.24560499019386e-14,1.6322959798773442e-12,5.342466354382602e-22,0.0,0.0,0.0
